time,ax,ay,az,atotal
5.992,-0.10,-0.00,-0.03,0.11
6.002,-0.15,0.05,0.03,0.16
6.012,-0.20,0.05,0.08,0.22
6.022,-0.17,0.05,0.10,0.20
6.032,-0.12,0.09,0.14,0.20
6.042,-0.09,0.12,0.22,0.26
6.052,-0.10,0.16,0.24,0.30
6.062,-0.06,0.20,0.27,0.34
6.072,0.01,0.27,0.24,0.36
6.082,0.07,0.27,0.21,0.35
6.092,0.10,0.23,0.16,0.30
6.103,0.07,0.12,0.12,0.18
6.113,0.00,0.04,0.07,0.08
6.123,-0.03,0.00,-0.02,0.03
6.133,-0.04,-0.06,-0.12,0.14
6.143,-0.04,-0.07,-0.21,0.22
6.153,-0.01,-0.02,-0.29,0.29
6.163,0.01,0.04,-0.38,0.38
6.173,-0.02,0.09,-0.40,0.41
6.183,-0.06,0.15,-0.40,0.44
6.193,-0.11,0.18,-0.32,0.39
6.203,-0.12,0.17,-0.20,0.29
6.213,-0.11,0.09,-0.11,0.18
6.223,-0.12,-0.01,-0.02,0.12
6.233,-0.15,-0.13,-0.01,0.19
6.244,-0.16,-0.24,-0.03,0.29
6.254,-0.20,-0.37,-0.04,0.42
6.264,-0.26,-0.38,-0.05,0.46
6.274,-0.29,-0.28,-0.04,0.41
6.284,-0.35,-0.08,-0.03,0.36
6.294,-0.33,0.10,0.03,0.34
6.304,-0.23,0.17,0.10,0.31
6.314,-0.08,0.18,0.17,0.26
6.324,0.05,0.15,0.18,0.24
6.334,0.15,0.04,0.19,0.24
6.344,0.16,-0.05,0.20,0.26
6.354,0.14,-0.12,0.22,0.29
6.364,0.12,-0.16,0.25,0.32
6.374,0.05,-0.18,0.27,0.33
6.385,-0.06,-0.14,0.27,0.31
6.395,-0.25,-0.10,0.20,0.33
6.404,-0.42,-0.06,0.15,0.45
6.415,-0.50,-0.02,0.07,0.51
6.425,-0.48,0.01,-0.01,0.48
6.435,-0.27,0.03,-0.11,0.30
6.445,-0.01,0.10,-0.17,0.20
6.455,0.23,0.18,-0.21,0.36
6.465,0.38,0.21,-0.25,0.51
6.475,0.46,0.18,-0.25,0.56
6.485,0.47,0.15,-0.21,0.54
